	0	18.069	36.256
0	190.240061	148.60955	126.808681
5	275.166647	239.128967	194.307912
10	261.943169	195.110371	179.250509
15	237.616356	192.202298	174.50545
20	667.21163	235.774567	192.278222
25	26532.9703	4094.250123	582.81976
30	138285.4238	37526.21839	13796.42466
35	352459.47	138761.0829	66443.25768
40	570298.7579	299662.156	174556.264
45	733897.9086	462989.3474	304384.5457
50	836922.4098	594051.8414	414892.7759
55	893193.8218	687072.9159	492230.0885
60	926808.6303	748691.9657	540715.4225
65	948330.911	782253.933	572236.877
70	955381.5247	805882.317	591390.6238
75	956223.8658	813034.0511	602321.7696
80	961689.2764	815970.7357	602311.7898
85	961322.3443	818824.6691	603012.9269
90	954861.5814	810303.5733	600961.9335
95	943147.0506	798309.9989	594633.0628
100	937712.2686	789136.4249	584818.8341
105	931409.3182	772145.3072	575972.0229
110	924358.8892	767699.6644	566088.2487
115	914927.6224	752938.1654	557923.5052
120	905178.1993	735357.4605	547207.0199
125	900104.4261	723386.0287	534498.046
130	887983.2614	709100.0378	526291.3498
135	880998.8944	701153.0977	518178.0894
140	881726.2923	686486.4747	504841.1399
145	865780.9175	673653.2204	498348.258
150	870983.7352	674584.225	487163.4673
155	864541.7531	647272.9065	483745.4895
160	839828.5297	640747.1202	482344.3848
165	838359.2841	634804.2818	469038.1117
170	851894.1796	634334.419	461944.9259
175	843547.3965	623635.0728	456359.056
180	847272.2354	603243.4519	454331.8918
185	849075.0739	613579.3403	441077.2823
190	834163.4097	603520.5347	451067.6709
195	815063.4675	576167.2438	444389.6181
200	839992.2001	585547.5284	442421.9451
205	831135.1988	561852.0632	437925.5673
